,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"w[0,0]",0.007,1.005,-1.915,1.878,0.009,0.013,12034.0,5434.0,1.0
"w[0,1]",0.001,1.002,-1.884,1.836,0.01,0.012,10100.0,5779.0,1.0
"w[0,2]",0.001,0.981,-1.785,1.83,0.009,0.013,10871.0,5220.0,1.0
"w[0,3]",0.001,1.024,-1.969,1.946,0.01,0.013,11291.0,5909.0,1.0
"w[0,4]",0.005,1.006,-1.82,1.996,0.009,0.012,12042.0,6464.0,1.0
"w[0,5]",-0.002,0.987,-1.85,1.837,0.009,0.012,11563.0,6153.0,1.0
"w[0,6]",-0.006,1.0,-1.809,1.965,0.008,0.012,14261.0,5890.0,1.0
"w[1,0]",-0.447,0.821,-1.996,1.129,0.009,0.008,9324.0,5589.0,1.0
"w[1,1]",-0.013,0.992,-1.923,1.775,0.009,0.012,13026.0,5957.0,1.0
"w[1,2]",-0.002,0.998,-1.85,1.913,0.009,0.013,13444.0,5433.0,1.0
"w[1,3]",0.044,0.996,-1.83,1.917,0.009,0.012,11286.0,5753.0,1.0
"w[1,4]",0.004,0.994,-1.787,1.958,0.009,0.012,11181.0,5612.0,1.0
"w[1,5]",0.005,0.994,-1.896,1.792,0.009,0.012,11664.0,5591.0,1.0
"w[1,6]",0.001,0.997,-1.906,1.856,0.009,0.013,11874.0,5824.0,1.0
"w[2,0]",0.003,1.007,-1.868,1.885,0.009,0.012,12723.0,6024.0,1.0
"w[2,1]",-0.008,0.991,-1.84,1.869,0.009,0.012,12313.0,6140.0,1.0
"w[2,2]",0.002,0.985,-1.784,1.901,0.009,0.012,10941.0,6274.0,1.0
"w[2,3]",0.011,0.982,-1.85,1.862,0.01,0.011,10577.0,5901.0,1.0
"w[2,4]",0.006,0.988,-1.852,1.878,0.009,0.012,12655.0,5862.0,1.0
"w[2,5]",0.01,0.989,-1.788,1.935,0.009,0.012,12811.0,6395.0,1.0
"w[2,6]",-0.01,1.005,-1.875,1.896,0.01,0.012,11005.0,5629.0,1.0
"w[3,0]",-0.229,0.669,-1.545,0.985,0.008,0.007,7832.0,6091.0,1.0
"w[3,1]",0.002,1.019,-1.877,1.915,0.009,0.013,12219.0,5674.0,1.0
"w[3,2]",0.004,1.007,-1.911,1.881,0.009,0.012,12610.0,5512.0,1.0
"w[3,3]",0.01,0.989,-1.698,2.011,0.009,0.012,11568.0,5835.0,1.0
"w[3,4]",0.0,0.984,-1.819,1.825,0.01,0.011,10011.0,6553.0,1.0
"w[3,5]",0.014,0.98,-1.8,1.848,0.009,0.012,11229.0,5776.0,1.0
"w[3,6]",0.018,0.994,-2.001,1.759,0.01,0.012,10600.0,5780.0,1.0
"w[4,0]",-0.179,0.627,-1.296,1.089,0.007,0.007,7504.0,5912.0,1.0
"w[4,1]",-0.005,0.997,-1.819,1.915,0.009,0.013,11548.0,5316.0,1.0
"w[4,2]",-0.012,1.01,-1.841,1.936,0.009,0.012,11523.0,5850.0,1.0
"w[4,3]",0.002,0.97,-1.895,1.713,0.009,0.011,11949.0,6340.0,1.0
"w[4,4]",0.012,0.964,-1.755,1.804,0.009,0.012,11606.0,6360.0,1.0
"w[4,5]",0.013,0.999,-1.859,1.878,0.01,0.012,10136.0,5980.0,1.0
"w[4,6]",-0.007,0.993,-1.856,1.865,0.01,0.012,10432.0,5510.0,1.0
"w[5,0]",2.218,0.765,0.884,3.735,0.014,0.01,3203.0,3057.0,1.0
"w[5,1]",-0.006,0.998,-1.863,1.848,0.009,0.013,11196.0,5807.0,1.0
"w[5,2]",-0.009,1.032,-1.988,1.919,0.01,0.012,9774.0,5226.0,1.0
"w[5,3]",-0.101,1.109,-2.232,1.947,0.025,0.018,1920.0,3576.0,1.0
"w[5,4]",-0.02,1.118,-2.123,2.074,0.015,0.013,5390.0,4473.0,1.0
"w[5,5]",0.011,1.099,-2.146,1.996,0.014,0.013,6568.0,5568.0,1.0
"w[5,6]",-0.009,1.06,-2.088,1.883,0.014,0.012,5615.0,4990.0,1.0
"w[6,0]",-0.311,0.596,-1.492,0.779,0.008,0.006,6358.0,5378.0,1.0
"w[6,1]",-0.0,0.987,-1.891,1.785,0.009,0.012,11161.0,5590.0,1.0
"w[6,2]",-0.009,0.987,-1.813,1.861,0.01,0.012,9264.0,5230.0,1.0
"w[6,3]",0.013,1.001,-1.936,1.831,0.01,0.012,10535.0,6023.0,1.0
"w[6,4]",-0.001,0.981,-1.777,1.914,0.01,0.011,9988.0,6097.0,1.0
"w[6,5]",0.018,0.994,-1.947,1.816,0.01,0.011,10581.0,6003.0,1.0
"w[6,6]",-0.001,1.01,-1.859,1.924,0.01,0.011,9908.0,6314.0,1.0
"w[7,0]",0.063,1.028,-1.797,2.03,0.018,0.012,3455.0,5380.0,1.0
"w[7,1]",-0.011,1.013,-1.936,1.862,0.009,0.013,12442.0,5264.0,1.0
"w[7,2]",-0.004,1.011,-1.847,1.952,0.01,0.013,9820.0,5322.0,1.0
"w[7,3]",-1.422,0.591,-2.532,-0.31,0.01,0.007,3739.0,3110.0,1.0
"w[7,4]",-0.055,1.015,-1.874,1.922,0.017,0.012,3663.0,5183.0,1.0
"w[7,5]",0.02,1.035,-2.035,1.823,0.024,0.017,1878.0,4713.0,1.0
"w[7,6]",-0.006,1.03,-1.898,1.956,0.015,0.012,4810.0,5390.0,1.0
"w[8,0]",-0.015,0.994,-1.918,1.845,0.01,0.012,10919.0,5291.0,1.0
"w[8,1]",-0.009,1.006,-1.888,1.868,0.009,0.012,13119.0,5904.0,1.0
